show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description,classification
s463,TV Show,PJ Masks (Shorts),Unknown,,2020-07-24,2020.0,TV-Y,1.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, t, i, o, n, ,,  , K, i, d, s",The PJ Masks are protecting the city from villains!,
s464,TV Show,Rogue Trip,Unknown,,2020-07-24,2020.0,TV-PG,1.0,"B, u, d, d, y, ,,  , D, o, c, u, s, e, r, i, e, s",Bob Woodruff and his son travel the world searching for beauty and adventure in unexpected places.,
s465,TV Show,Wild Congo,Unknown,,2020-07-24,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",The Congo: the most mysterious river in the dark heart of Africa.,
s466,TV Show,Wild Sri Lanka,Unknown,United Kingdom,2020-07-24,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s",This three-part series reveals the spectacular nature and amazing wildlife of Sri Lanka.,
s467,Movie,A Pre-Opening Report from Disneyland,Wilfred Jackson,United States,2020-07-17,2020.0,TV-PG,55.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , F, a, m, i, l, y, ,,  , H, i, s, t, o, r, i, c, a, l",Walt provides a look at the details needed to get the Park ready to open. See details for advisory.,
s468,Movie,Diary of a Wimpy Kid: The Long Haul,David Bowers,United States,2020-07-17,2020.0,PG,92.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y",A trip to Meemaw’s 90th birthday takes a detour due to Greg’s scheme to attend a gaming convention!,1.0
s469,TV Show,Disney Junior Music Lullabies,Unknown,,2020-07-17,2020.0,TV-Y,1.0,"A, n, i, m, a, t, i, o, n, ,,  , K, i, d, s, ,,  , M, u, s, i, c",Disney Junior songs reimagined as calming lullabies.,
s470,Movie,Lost City of Machu Picchu,Unknown,United States,2020-07-17,2020.0,TV-14,44.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , F, a, m, i, l, y",Who were the mysterious people who built Machu Picchu and why?,
s471,TV Show,Super Robot Monkey Team Hyperforce Go!,Unknown,"United States, Japan",2020-07-17,2020.0,TV-Y7,2.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, t, i, o, n, ,,  , A, n, i, m, e",Chiro and a team of five Robot Monkeys defend Shuggazoom City against Skeleton King and his minions.,
s472,Movie,The Mouseketeers at Walt Disney World,John Tracy,United States,2020-07-17,2020.0,TV-PG,56.0,"C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , D, r, a, m, a, ,,  , F, a, m, i, l, y",The Mouseketeers arrive to perform at Walt Disney World. See details for advisory.,
s473,TV Show,Wild Chile,Unknown,United Kingdom,2020-07-17,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",This beautiful and intriguing blue-chip series explores the incredibly varied wildlife of Chile.,
s474,Movie,X-Men: Apocalypse,Bryan Singer,United States,2020-07-17,2020.0,PG-13,144.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , F, a, m, i, l, y, ,,  , S, c, i, e, n, c, e,  , F, i, c, t, i, o, n","Apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind.",2.0
s475,TV Show,Cosmos: A Spacetime Odyssey,Unknown,United States,2020-07-10,2020.0,TV-PG,1.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",A 13-part adventure across the universe of space and time.,
